server,name
N7VRRInfo01,Red Rock - N7VRRInfo01
N7VRRInfoComp01,Red Rock - Comp - N7VRRInfoComp01
N7VGVInfo01,Green Valley Ranch - N7VGVInfo01
N7VGVInfoComp01,Green Valley Ranch - Comp - N7VGVInfoComp01
N7VSSInfo01,Sunset - N7VSSInfo01
N7VSSInfoComp01,Sunset - Comp - N7VSSInfoComp01
N7VTSInfo01,Texas - N7VTSInfo01
N7VTSInfoComp01,Texas - Comp - N7VTSInfoComp01
N7VPSInfo01,Palace - N7VPSInfo01
N7VPSInfoComp01,Palace - Comp - N7VPSInfoComp01
N7VBSInfo01,Boulder - N7VBSInfo01
N7VBSInfoComp01,Boulder - Comp - N7VBSInfoComp01
N7VFHInfo01,Fiesta Henderson - N7VFHInfo01
N7VFHInfoComp01,Fiesta Henderson - Comp - N7VFHInfoComp01
N7VFRInfo01,Fiesta Rancho - N7VFRInfo01
N7VFRInfoComp01,Fiesta Rancho - Comp - N7VFRInfoComp01
N7VSFInfo01,Santa Fe - N7VSFInfo01
N7VSFInfoComp01,Santa Fe - Comp - N7VSFInfoComp01
N7VWFBInfo01,Wildfire Boulder - N7VWFBInfo01
N7VWFRInfo01,Wildfire Rancho - N7VWFRInfo01
N7VWFSInfo01,Wildfire Sunset - N7VWFSInfo01
N7VWFLInfo01,Wildfire Lanes - N7VWFLInfo01
N7VWFLMInfo01,Wildfire Lake Mead - N7VWFLMInfo01
N7VWFAInfo01,WF Anthem - N7VWFAInfo01
N7VWFVVInfo01,Wild Fire Valley View - N7VWFVVInfo01
N7VWWWInfo01,Wild Wild West - N7VWWWInfo01
N7VTGInfo01,The Greens - N7VTGInfo01
N7VBAInfo01,Barley's - N7VBAInfo01
N7VENTInfoComp,N7VENTInfoComp - N7VENTInfoComp
N7VENTInfoWeb01,N7VENTInfoWeb01 - N7VENTInfoWeb01
N7VENTInfoApp01,N7VENTInfoApp01 - N7VENTInfoApp01
