"Department","TMTitle","OldPCID","OldModel","OldAssetTag","OldSrvcTag","NewPCID","NewModel","NewSrvcTag","NewAssetTag","InService","Comments","Pings","Received"
"N/A","No Host Found","ZIT-EMCMON","Deskpro EP/SB Series","","6011DT63G020","","","","","","NHF","","J23WQ22"
"IT","IT Monitoring Engineer - Vessie","ZIT1000","DSDT_PRJ","No A. Tag","2UA6371DRR","ZEX0467","9020","1010467","J166R22","01/19/2015","","","J9XM322"
"N/A","No Host Found","ZITZTRON","Evo D510 CMT","","W312KN8ZC448","","","","","","NHF","","J155R22"
"IT","SOLUTION CENTER","ZIT0506","HP Compaq dc5100 SFF(PT005AW)","","MXL513089B","ZEX0279","9020","CTMPP22","1010279","12/01/2014","","","89XM322"
"N/A","No Host Found","ZITZTRON2","HP d530 SFF(DG058A)","","2UB407026S","","","","","","NHF","","J1JWQ22"
"Surveillance","sbinet","ZSV2020","hp workstation xw5000","","1.23457E+11","","","","","","At Wild West","","J0MSQ22"
"IT","Northside FTP Server","ZIT6655","Inspiron 620","","D7SBPS1","ZIT6655","9020","CS5TP22","1011621","12/31/2014","TS IT Laptop","","J1KSR22"
"Corp. Ops.","Specialty PC Corp. Slots","ZITCFINNE","OptiPlex 390","","663WTV1","","9020","J0P4R22","1010472","","On Hold","","J24TQ22"
"Corp. Ops.","Specialty PC Corp. Slots","ZITSAS","OptiPlex 390","","5BTNXV1","","9020","J0NQQ22","","","On Hold","","J3DWQ22"
"Corp. Ops.","Specialty PC Corp. Slots","ZITSAS7","OptiPlex 390","","663YTV1","","9020","J2GRQ22","1010399","","On Hold","","J23YQ22"
"IT","Specialty PC Corp. IT","ZITSK001","OptiPlex 7010","","DKC9FX1","","9020","J1KSQ22","1010400","","On Hold","","24XM322"
"AC","AC PAYABLES CLERK","ZAC2426","OptiPlex 745","","JQS3PD1","ZEX0351","9020","BBXM322","1010351","12/14/2014","","","3SHQ322"
"N/A","No Host Found","ZAC2527","OptiPlex 745","","62T9QD1","","","CG1RP22","1010298","","NHF","","6XHQ322"
"Accounting","csulli","ZAC3634","OptiPlex 745","","9YNY2F1","ZEX0285","9020","CKWRP22","1010285","12/30/2014","","","CJ7TP22"
"Accounting","10.241.35.16 host unreachable","ZAC3787","OptiPlex 745","","781TYD1","","","","","","TIMES OUT","","CJZRP22"
"Accounting","ICG SCAN STATION","ZAC4882","OptiPlex 745","1004882","9HYJ3F1","ZEX0466","9020","J0KQLN1","1010466","01/20/2015","","","CKBVP22"
"AD","AD MANAGER","ZAD3937","OptiPlex 745","","6HYJ3F1","ZEX0263","9020","CS4TP22","1010263","12/28/2014","","","CKDTP22"
"Hotel","10.241.35.78","ZCC3736","OptiPlex 745","","BHFLYD1","ZEX0402","9020","J23ZQ22","1010402","01/02/2015","Score Board","","CKHZP22"
"Call Center","10.255.252.241","ZCC3743","OptiPlex 745","","8GFLYD1","","","","","","At Palace","","CKWRP22"
"N/A","No Host Found","ZCC3746","OptiPlex 745","","DGFLYD1","","","","","","NHF","","CS1PP22"
"Call Center","10.40.109.92","ZCC3750","OptiPlex 745","","FDFLYD1","ZCC1393","9020","CS71Q22","1011393","","At Palace","","CSPPP22"
"Call Center","10.255.252.25","ZCC3751","OptiPlex 745","","291TYD1","ZCC1384","9020","D6DNP22","1011384","","At Palace","","CSPRP22"
"Call Center","10.255.252.46","ZCC3752","OptiPlex 745","","271TYD1","ZCC1383","9020","CSKTP22","1011383","","At Palace","","CSQZP22"
"Call Center","10.255.255.56","ZCC3762","OptiPlex 745","","7NPTYD1","","","","","","At Palace","","CSYSP22"
"Call Center","10.255.252.50","ZCC3766","OptiPlex 745","","5TN6YD1","ZCC1377","9020","D5XPP22","1011377","","At Palace","","CTFVP22"
"Call Center","10.255.252.51","ZCC3771","OptiPlex 745","","9MPTYD1","ZCC1373","9020","CJBZP22","1011373","","At Palace","","CTHQP22"
"Call Center","10.255.252.131","ZCC3779","OptiPlex 745","","CMPTYD1","ZCC1385","9020","CJY1Q22","1011385","","At Palace","","D5F1Q22"
